instance,sha265_input,output
or-70-5-2-UC-30.cnf,dd2b66f93ec971cdf187194b1e9afc4195b7b9daaebb99d8f27ed9ee3d2a0eef,track2_000.mcc2020_wcnf
or-100-5-7-UC-30.cnf,96c52e1e7d15fcf36e79d58e104c40a02133693c38f54d0db860f5ae97f11649,track2_001.mcc2020_wcnf
or-70-20-6-UC-30.cnf,cd7bad7ab6edea2afb6bb60a5179f53211d51d809889480d190cb8e1272b594a,track2_002.mcc2020_wcnf
or-100-5-9-UC-50.cnf,0404390cf9581d3c1b2d1298590d65f50f067447aadafe8a998fb6c55b3b836d,track2_003.mcc2020_wcnf
or-60-10-6-UC-10.cnf,bdbb6b3d7e7a43893779e10c253dadebe7d250a52860b530c4be47e2a7c90682,track2_004.mcc2020_wcnf
or-50-20-3-UC-10.cnf,d907db7bd72200fda70d22028b0fca514a3e2a38433cd3e23d456bbed79427bf,track2_005.mcc2020_wcnf
75-17-4-q.cnf,55c2b1142295e9582ef4b3c5718d546a2d89b81f0d51f794f6bd3c858f2f0911,track2_006.mcc2020_wcnf
or-100-5-2-UC-20.cnf,75e0d3e36a698622f2075ced238a693cdfe8ee59cdb586679361fcdc7d298a66,track2_007.mcc2020_wcnf
or-100-10-5-UC-20.cnf,ad13157ac8b9aaf45a5e86ac7655370a6a3214926a4a12e2ffd52933182f194f,track2_008.mcc2020_wcnf
50-12-3-q.cnf,ebcdb77a77b2a8a2444fe47b80186170526bf5c4e91076630cbc63284969009a,track2_009.mcc2020_wcnf
or-60-10-3-UC-10.cnf,61f3af233371fa23b240def70942c2bbba7c6fbb5a44f3a27e33c87ceba3a545,track2_010.mcc2020_wcnf
50-16-8-q.cnf,0439774d0540b91077b30485b569d22e0153e935ffae7879f80406877067a919,track2_011.mcc2020_wcnf
90-34-10-q.cnf,eb727237fd543890d1df015aee3ed10ada10ddd178b31b7e96ffe642ea829cf1,track2_012.mcc2020_wcnf
or-100-20-8-UC-20.cnf,44b590d4a2e2ad5eae11c0d4967aeba63709a95472876d48affbdc4dd7bc4510,track2_013.mcc2020_wcnf
75-22-8-q.cnf,0603666f71ab65413e02cdd3f62a39674bcfb0f555d77eb70e2f0fd4387bca0c,track2_014.mcc2020_wcnf
75-22-6-q.cnf,7fa84d57608ff830774800be874138c3cd02adbecb93f1ed6734e5cc8545f50d,track2_015.mcc2020_wcnf
or-60-20-7-UC-10.cnf,ef664ea8f0448eb19bfe71a90dfd6c9af0c01bc8fb3f1aed765ffbd78e7fa241,track2_016.mcc2020_wcnf
75-25-2-q.cnf,9da2c4adf2e5b8711b37e076455724673646a15dac4a43a60b06266923828efc,track2_017.mcc2020_wcnf
75-26-1-q.cnf,1cab71f82f4921b95b64338ca32f03ee7101b84b67e05f287c46142deb09c8be,track2_018.mcc2020_wcnf
90-42-6-q.cnf,17cc7ed165c5ed663d4597ec08078f927f6ba513173bb113e6a931b758e449ae,track2_019.mcc2020_wcnf
90-46-8-q.cnf,74a6f2beb8b84d70e27e36f8817f64837466611cf3c917c76c62b15e20a89972,track2_020.mcc2020_wcnf
or-100-5-9-UC-10.cnf,59d67cad11a63b32876e5e8e7ea4d0467b0aacdde19c0a4247a434329f268334,track2_021.mcc2020_wcnf
or-60-20-5.cnf,cb7bac46c48066fa2ad1d4fa3ecf2856d299ca1535d348e76c4a4146636b356b,track2_022.mcc2020_wcnf
90-42-10-q.cnf,ee3a9e3e01a41c443f39da03d4dd1aa4d530456a4f892fab5386fb804bf9c9b5,track2_023.mcc2020_wcnf
90-46-3-q.cnf,f1b131022497627c9a4b81e1c6afb815f8403d1bacb8db26d77c5bda65680001,track2_024.mcc2020_wcnf
or-70-5-6-UC-10.cnf,4cb9fb8b9494ce7f7eb2b70e26de64cfd2dfc379e1dd6df957718cbd04014af5,track2_025.mcc2020_wcnf
or-100-5-10-UC-10.cnf,07496ebd9a91f5bdc77474fea73110e5fdbf8b94783a6d6f1a4606ffd7c33137,track2_026.mcc2020_wcnf
50-14-5-q.cnf,aa23b0ac6cc6ebac8690b912781cac344f16a339d37e46716c98596225d59735,track2_027.mcc2020_wcnf
90-46-1-q.cnf,eeeb30e1f9ff90e9d5e944c1e6574826c938fb3c683384e3f458765c3c0aba52,track2_028.mcc2020_wcnf
75-23-5-q.cnf,6b9e396d5ce0fcc36416fd27724cb960bfc783d86a55f8fa4fa70a1ccf66d5a2,track2_029.mcc2020_wcnf
75-26-2-q.cnf,dd61cf67076eaed654d34f60ae4cafbfd8b61cccadbad94ac755eaf680264096,track2_030.mcc2020_wcnf
75-25-5-q.cnf,c2a275ef65940ee83a3a5d3d966a3841f4876baf3a6173c63758e5e324c79919,track2_031.mcc2020_wcnf
75-22-4-q.cnf,b465d4c4b661a9f7275424c2f0fb56baae6135fe5258f046141ede692426632f,track2_032.mcc2020_wcnf
or-70-10-2-UC-10.cnf,f598a50d204b5717ca7f7f4d899e0c7de7808352f7a93226c9b0d0df2584e3a0,track2_033.mcc2020_wcnf
75-23-3-q.cnf,d1fce2bf1ef30fbccadbf788d1ddd3fbd5c00f632f5141c574383643cacb2200,track2_034.mcc2020_wcnf
or-100-20-3-UC-30.cnf,57200e6d2e377a31c63f6bb76ba6666e7e37db056e9e7a7f9261a1eed819d1f7,track2_035.mcc2020_wcnf
75-24-10-q.cnf,8c542c485d8e19564ee04c0a604cb30528ad267608171f48d73846552b20b861,track2_036.mcc2020_wcnf
75-22-7-q.cnf,b9b91e9592ba39b542afea5912693d0a9fa27b10b68f74e372026be6544411a2,track2_037.mcc2020_wcnf
75-24-3-q.cnf,8e80201bde3bc77708262c95f944a300212c980562b852a454daec20d82e9b6f,track2_038.mcc2020_wcnf
90-38-7-q.cnf,a326623ed31a300c9a83f43b883f19a32f1a3814329e0b74bc1a3d440609bc8e,track2_039.mcc2020_wcnf
75-21-7-q.cnf,b84a5ee143afcda9adf67292af5a2aa96cc9147ebb2d53b93597308f5a1b96ff,track2_040.mcc2020_wcnf
or-70-10-4-UC-10.cnf,3692c26d05f6b3e9ce9eece5c575300399fa417b2fc126c4dd97d72093f51c92,track2_041.mcc2020_wcnf
90-46-4-q.cnf,d60b1b634ac6612065dd30bc9cabe8f01d2edb1a37d4582c1773de88cabe5933,track2_042.mcc2020_wcnf
or-60-20-10.cnf,71036130cf6621f16581d886fa0bb7ea0738903f7ddcd7e7e4f49b5499f8bd27,track2_043.mcc2020_wcnf
or-70-20-8-UC-20.cnf,01e78a72c33cf2ec92469eed3675a73337cf0df17d52f245b818a8190a2f9d58,track2_044.mcc2020_wcnf
or-60-20-5-UC-10.cnf,8310f331db4795a0f344c9ec9e7e7054756a00c4310bace20a8aa4aff51b1a6d,track2_045.mcc2020_wcnf
or-60-5-2.cnf,963c79e18a99f56d06d71bf8eeb65722b0c9c8b0a2fb97e9bd02f49a0ffdcd4f,track2_046.mcc2020_wcnf
or-100-20-10-UC-20.cnf,b128c3c1592108128a784dcb1a0455a8c8609762970e469d6c859304281efa47,track2_047.mcc2020_wcnf
or-60-5-8.cnf,61db73928fc374eb16bd9804b9cef4df58bf5101c39bdf973821c5b04e66ac79,track2_048.mcc2020_wcnf
75-26-6-q.cnf,5ebfc0cec92ebf8dfa7412d42344add296b5f9e150ed04a8cb0fe1be973be652,track2_049.mcc2020_wcnf
or-60-5-5.cnf,ef608861777c6414056c7842f90895c87bdffc93837b72592df441cf0b52fd68,track2_050.mcc2020_wcnf
90-46-7-q.cnf,74ae2f56c2836f843a378c7534c81510754b57c71abb67bb0a29d5d75ea054f7,track2_051.mcc2020_wcnf
90-42-5-q.cnf,15c6f13d2fdb125556527f087d5385c24a6142deb781cb399af76dbd90b07cc5,track2_052.mcc2020_wcnf
or-100-20-7-UC-20.cnf,cfefc5b303645e952159041d105ef61601167d27d3edaf4ea54dc9dde072fbbb,track2_053.mcc2020_wcnf
90-46-9-q.cnf,f03ec28bf13f16c1009291bcef0481b47faaf4fccf819fc27cc541b614f49231,track2_054.mcc2020_wcnf
or-50-10-7.cnf,f93f92c2953f3670f547b9faab2f2ee13b78d64552c6fff5f2b1506a4ef5d1cb,track2_055.mcc2020_wcnf
or-60-10-10.cnf,3f98d289e0c77ea3ad205a764b6c8bbc367f4da8998d464c504a0e1169bd4427,track2_056.mcc2020_wcnf
or-50-20-9.cnf,c6f4c215f5106e6ddc7f1903bbd8e9e7796164fa922d45a84c8cb6df90d038b4,track2_057.mcc2020_wcnf
50-14-7-q.cnf,6d76438bd7628095c49eacee6eb053b3fd7479f5ea41bba0679a28e4f2f0a6a2,track2_058.mcc2020_wcnf
50-18-6-q.cnf,0622b9ffd88132189964a97fa99a2d07cf9e1d1f466aeb002c517163572f9d88,track2_059.mcc2020_wcnf
90-42-7-q.cnf,56dd82e9a4b34809bead25febf752a1bd7e942949121e5443300829ee84eddf1,track2_060.mcc2020_wcnf
90-46-2-q.cnf,12d8ce7a0d11ca232958ce43f1c8440d261fd962a5ec4b88883617fbd5133003,track2_061.mcc2020_wcnf
75-24-9-q.cnf,4ac956ae83ae20641beb1ff51ae752c0a7eaea7a68877bed706a82f8c299ebd6,track2_062.mcc2020_wcnf
50-18-4-q.cnf,27d0dffab0a52c639b9e2a7b523cd6cbd982017504cb7b6db0a90f83d6bc0bbb,track2_063.mcc2020_wcnf
50-16-5-q.cnf,c4ea33efeb22c1324a96e599ac63fec680fd54d7ec36cc7c63a3d39709efa6d7,track2_064.mcc2020_wcnf
or-100-20-6-UC-20.cnf,3990362585736601e6329bbec11af05509ce3c2efc4be802d91138e0ef6c1ff9,track2_065.mcc2020_wcnf
75-24-5-q.cnf,ee61e4ca15ab70bdae75108da162be42e3e3b3d0375b42f4682bce3857b4a492,track2_066.mcc2020_wcnf
75-25-7-q.cnf,bd473f2775ddb88fca6f9e65efe6a06d4e4585c1cdbe2b13d0dd7483fa25d1ee,track2_067.mcc2020_wcnf
or-60-20-5-UC-20.cnf,ea2337922a7aba2ecd7f50769a5efc0502e07c6a588b80353881a2a123b2390b,track2_068.mcc2020_wcnf
