,runsolver_WCTIME,runsolver_CPUTIME,runsolver_USERTIME,runsolver_SYSTEMTIME,runsolver_CPUUSAGE,runsolver_MAXVM,runsolver_TIMEOUT,runsolver_MEMOUT,runsolver_STATUS,perf_tlb_miss,perf_cycles,perf_cache_misses,perf_elapsed,return_code,cpu_time,wall_time,max_memory,run_id,verdict
0,0.172424,0.165332,0.102982,0.06235,95.8869,378628,false,false,10,178267,377101076,376641,0.158977563,10,0.165332,0.172424,378628,output/glibc/default[s=plingeling]/sat2014_app_bench/complete-300-0.1-4-9876543213004.cnf.gz/0,OK
1,25.3654,46.7295,38.2712,8.4583,184.225,7133540,false,false,0,281475030158597,115314767392,364443315,25.351749733,0,46.7295,25.3654,7133540,output/glibc/default[s=plingeling]/sat2014_app_bench/atco_enc3_opt1_13_48.cnf.gz/0,OK
2,458.675,1805.45,1802.13,3.31145,393.622,3078784,false,false,20,4503601840331408,4485720172897,13181905187,458.662024950,20,1805.45,458.675,3078784,output/glibc/default[s=plingeling]/sat2014_app_bench/atco_enc2_opt2_05_4.cnf.gz/0,OK
3,212.1,812.58,810.487,2.09254,383.112,3791272,false,false,20,1548113648417012,2015919643203,5722544413,212.086536946,20,812.58,212.1,3791272,output/glibc/default[s=plingeling]/sat2014_app_bench/manol-pipe-c8nidw.cnf.gz/0,OK
4,0.467834,0.672829,0.616776,0.056053,143.818,386376,false,false,20,296180,1644268294,615790,0.455022319,20,0.672829,0.467834,386376,output/glibc/default[s=plingeling]/sat2014_app_bench/6s151.cnf.gz/0,OK
5,900.322,3549.18,3508.79,40.3905,394.212,5156076,true,false,1,NaN,NaN,NaN,NaN,9,3549.18,900.322,5156076,output/glibc/default[s=plingeling]/sat2014_app_bench/008-80-12.cnf.gz/0,TLE
6,8.12765,27.4244,27.0293,0.39508,337.421,2330988,false,false,10,3590248,68358217922,43325199,8.114449190,10,27.4244,8.12765,2330988,output/glibc/default[s=plingeling]/sat2014_app_bench/rpoc_xits_15_SAT.cnf.gz/0,OK
7,27.7356,51.5352,44.6232,6.91203,185.809,5838488,false,false,0,83783027,128236255899,323935302,27.711038045,0,51.5352,27.7356,5838488,output/glibc/default[s=plingeling]/sat2014_app_bench/SAT_dat.k100-24_1_rule_2.cnf.gz/0,OK
8,900.469,3518.59,3461.06,57.53,390.75,8125460,true,false,1,7177613952600442,8717910652163,31095654042,900.016285055,9,3518.59,900.469,8125460,output/glibc/default[s=plingeling]/sat2014_app_bench/9dlx_vliw_at_b_iq7.cnf.gz/0,TLE
9,900.09,3556.64,3553.95,2.68272,395.142,2464284,true,false,1,8444252785174149,8782743368471,25441699410,900.013842107,9,3556.64,900.09,2464284,output/glibc/default[s=plingeling]/sat2014_app_bench/hitag2-8-60-0-0xdcdbc8bf368ee73-37.cnf.gz/0,TLE
10,299.212,1177.58,1172.3,5.28226,393.562,3136936,false,false,20,2251802516372947,2932507033566,8037502702,299.198504820,20,1177.58,299.212,3136936,output/glibc/default[s=plingeling]/sat2014_app_bench/korf-18.cnf.gz/0,OK
11,900.195,3547.36,3528.14,19.2191,394.066,3593556,true,false,1,7881307483215713,8819337164585,39790352446,900.011388392,9,3547.36,900.195,3593556,output/glibc/default[s=plingeling]/sat2014_app_bench/MD5-28-1.cnf.gz/0,TLE
12,22.9528,41.7264,31.9203,9.80612,181.792,6138840,false,false,0,24551104,103756980846,205625939,22.939367439,0,41.7264,22.9528,6138840,output/glibc/default[s=plingeling]/sat2014_app_bench/atco_enc1_opt2_20_12.cnf.gz/0,OK
13,34.3112,62.1296,49.4083,12.7213,181.077,8393228,false,true,1,281474981352740,149917705698,343562219,33.799140457,9,62.1296,34.3112,8393228,output/glibc/default[s=plingeling]/sat2014_app_bench/atco_enc2_opt1_20_11.cnf.gz/0,MEM
14,900.209,3554.92,3534.01,20.915,394.9,3077276,true,false,1,NaN,NaN,NaN,NaN,9,3554.92,900.209,3077276,output/glibc/default[s=plingeling]/sat2014_app_bench/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.025-NOTKNOWN.cnf.gz/0,TLE
15,163.797,638.029,634.326,3.70267,389.523,2392476,false,false,20,1688850027068577,1576532045645,2113977937,163.784245920,20,638.029,163.797,2392476,output/glibc/default[s=plingeling]/sat2014_app_bench/total-10-13-u.cnf.gz/0,OK
16,25.7349,47.9165,41.6527,6.2637,186.192,5047000,false,false,0,281475050710566,116989562687,279883994,25.711193109,0,47.9165,25.7349,5047000,output/glibc/default[s=plingeling]/sat2014_app_bench/SAT_dat.k90.debugged.cnf.gz/0,OK
17,23.2336,43.3456,37.3968,5.94878,186.564,8591652,false,true,1,NaN,NaN,NaN,NaN,9,43.3456,23.2336,8591652,output/glibc/default[s=plingeling]/sat2014_app_bench/SAT_dat.k80-24_1_rule_1.cnf.gz/0,MEM
18,592.785,2321.4,2275.83,45.5771,391.61,5470416,false,false,20,5629501521656240,5779101015334,17398910983,592.771895365,20,2321.4,592.785,5470416,output/glibc/default[s=plingeling]/sat2014_app_bench/11pipe_q0_k.cnf.gz/0,OK
19,900.284,3542.68,3539.75,2.93125,393.507,5178588,true,false,1,8444251201020869,8700382377472,51588493506,900.018514396,9,3542.68,900.284,5178588,output/glibc/default[s=plingeling]/sat2014_app_bench/bob12m04.cnf.gz/0,TLE
20,130.258,496.77,495.249,1.5206,381.372,3310252,false,false,20,1125900620720773,1235690864196,5624051002,130.245154305,20,496.77,130.258,3310252,output/glibc/default[s=plingeling]/sat2014_app_bench/UCG-20-5p0.cnf.gz/0,OK
21,610.496,2407.98,2392.51,15.4681,394.43,4731468,false,false,10,5629504008187660,5942361004805,20841961151,610.482507177,10,2407.98,610.496,4731468,output/glibc/default[s=plingeling]/sat2014_app_bench/006-80-4.cnf.gz/0,OK
22,0.412042,0.474056,0.325744,0.148312,115.05,474896,false,false,10,301257,1142152807,1399586,0.399008202,10,0.474056,0.412042,474896,output/glibc/default[s=plingeling]/sat2014_app_bench/complete-500-0.1-7-9876543215007.cnf.gz/0,OK
23,60.1423,96.8312,77.061,19.7702,161.003,8583260,false,true,1,NaN,NaN,NaN,NaN,9,96.8312,60.1423,8583260,output/glibc/default[s=plingeling]/sat2014_app_bench/zfcp-2.8-u2-nh.cnf.gz/0,MEM
24,1.70139,4.27049,4.1529,0.117586,251.001,1988636,false,false,20,705559,10616732513,5648432,1.687643353,20,4.27049,1.70139,1988636,output/glibc/default[s=plingeling]/sat2014_app_bench/smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf.gz/0,OK
25,900.238,3540.85,3536.78,4.06759,393.324,4299948,true,false,1,NaN,NaN,NaN,NaN,9,3540.85,900.238,4299948,output/glibc/default[s=plingeling]/sat2014_app_bench/minandmaxor128.cnf.gz/0,TLE
26,900.115,3556.52,3553.73,2.79112,395.118,2369664,true,false,1,NaN,NaN,NaN,NaN,9,3556.52,900.115,2369664,output/glibc/default[s=plingeling]/sat2014_app_bench/hitag2-10-60-0-0x0ffdbe60727f161-57.cnf.gz/0,TLE
27,765.292,2986.4,2975.64,10.7544,390.23,4837956,false,false,20,7318352102201541,7404579771327,26708218597,765.278034362,20,2986.4,765.292,4837956,output/glibc/default[s=plingeling]/sat2014_app_bench/manol-pipe-c10nidw.cnf.gz/0,OK
28,542.719,2139.42,2136.02,3.40062,394.204,2285368,false,false,10,4222125838044773,5298961010891,5840834976,542.706170222,10,2139.42,542.719,2285368,output/glibc/default[s=plingeling]/sat2014_app_bench/stable-400-0.1-2-9876543214002.cnf.gz/0,OK
29,900.224,3542.43,3536.8,5.62806,393.505,3974072,true,false,1,8022042737665611,8783762195231,33268368540,900.001658250,9,3542.43,900.224,3974072,output/glibc/default[s=plingeling]/sat2014_app_bench/hwmcc10-timeframe-expansion-k50-pdtvisns3p00-tseitin.cnf.gz/0,TLE
30,321.696,1263.13,1259.54,3.58621,392.646,2639816,false,false,20,2111063846635486,3140191381129,6089565946,321.682693746,20,1263.13,321.696,2639816,output/glibc/default[s=plingeling]/sat2014_app_bench/6s17-opt.cnf.gz/0,OK
31,900.095,3553.58,3551.35,2.22869,394.801,2365016,true,false,1,8303515058154086,8783631606003,20082511347,900.000681723,9,3553.58,900.095,2365016,output/glibc/default[s=plingeling]/sat2014_app_bench/hitag2-10-60-0-0x8edc44db7837bbf-65.cnf.gz/0,TLE
32,900.208,3553.51,3544.5,9.0054,394.743,3580540,true,false,1,7740570463612415,8789945957107,40042348866,900.006349853,9,3553.51,900.208,3580540,output/glibc/default[s=plingeling]/sat2014_app_bench/MD5-31-4.cnf.gz/0,TLE
33,900.296,3549.96,3536.91,13.0561,394.311,3619300,true,false,1,NaN,NaN,NaN,NaN,9,3549.96,900.296,3619300,output/glibc/default[s=plingeling]/sat2014_app_bench/MD5-30-4.cnf.gz/0,TLE
34,149.423,581.694,577.863,3.83085,389.293,2289924,false,false,20,1688849949100529,1447986647679,1566680058,149.399222661,20,581.694,149.423,2289924,output/glibc/default[s=plingeling]/sat2014_app_bench/dated-10-11-u.cnf.gz/0,OK
35,192.95,759.662,757.341,2.32119,393.71,2391544,false,false,10,1548112615862826,1889891916814,2133078079,192.936136915,10,759.662,192.95,2391544,output/glibc/default[s=plingeling]/sat2014_app_bench/vmpc_33.cnf.gz/0,OK
36,900.24,3546.34,3531.26,15.0804,393.933,3231228,true,false,1,NaN,NaN,NaN,NaN,9,3546.34,900.24,3231228,output/glibc/default[s=plingeling]/sat2014_app_bench/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.025-NOTKNOWN.cnf.gz/0,TLE
37,22.2527,40.5906,33.1753,7.41538,182.408,6241608,false,false,0,51718243,100998677003,330311895,22.228754948,0,40.5906,22.2527,6241608,output/glibc/default[s=plingeling]/sat2014_app_bench/atco_enc3_opt2_05_21.cnf.gz/0,OK
38,264.947,1031.45,1029.7,1.75533,389.305,3157192,false,false,20,2392538549970759,2568575363234,11973884613,264.921372825,20,1031.45,264.947,3157192,output/glibc/default[s=plingeling]/sat2014_app_bench/UR-15-10p0.cnf.gz/0,OK
39,900.503,3511.89,3495.72,16.1746,389.992,8211264,true,false,1,NaN,NaN,NaN,NaN,9,3511.89,900.503,8211264,output/glibc/default[s=plingeling]/sat2014_app_bench/SAT_dat.k75-24_1_rule_3.cnf.gz/0,TLE
40,900.452,3553.29,3523.21,30.0846,394.612,4974432,true,false,1,8162780602402443,8797572653493,35036716816,900.160743716,9,3553.29,900.452,4974432,output/glibc/default[s=plingeling]/sat2014_app_bench/003-80-8.cnf.gz/0,TLE
41,0.506585,0.731383,0.681881,0.049502,144.375,381716,false,false,20,209591,1789272906,2152256,0.493380665,20,0.731383,0.506585,381716,output/glibc/default[s=plingeling]/sat2014_app_bench/6s16.cnf.gz/0,OK
42,0.449465,0.487848,0.342236,0.145612,108.54,470772,false,false,10,296408,1174736188,1420132,0.424137081,10,0.487848,0.449465,470772,output/glibc/default[s=plingeling]/sat2014_app_bench/complete-500-0.1-17-98765432150017.cnf.gz/0,OK
43,900.135,3545.04,3530.77,14.2702,393.835,2956280,true,false,1,NaN,NaN,NaN,NaN,9,3545.04,900.135,2956280,output/glibc/default[s=plingeling]/sat2014_app_bench/SAT_dat.k35-31_2_rule_2.cnf.gz/0,TLE
44,107.088,386.031,383.764,2.26656,360.479,3050920,false,false,20,1125900392989911,955733945388,1912228642,107.074751650,20,386.031,107.088,3050920,output/glibc/default[s=plingeling]/sat2014_app_bench/pb_300_10_lb_08.cnf.gz/0,OK
45,206.265,810.593,808.772,1.82178,392.986,2523880,false,false,20,1548113401265804,1997091676138,4218442994,206.241258391,20,810.593,206.265,2523880,output/glibc/default[s=plingeling]/sat2014_app_bench/atco_enc1_opt2_10_15.cnf.gz/0,OK
46,19.956,36.3091,30.8422,5.46683,181.945,3942696,false,false,0,72318396,90244939122,286665142,19.942790785,0,36.3091,19.956,3942696,output/glibc/default[s=plingeling]/sat2014_app_bench/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf.gz/0,OK
47,0.520052,0.788552,0.735894,0.052658,151.629,385684,false,false,20,280302,1932637123,1622576,0.496296198,20,0.788552,0.520052,385684,output/glibc/default[s=plingeling]/sat2014_app_bench/6s9.cnf.gz/0,OK
48,161.151,631.869,629.022,2.84696,392.098,2632088,false,false,20,1125901175199235,1572975815611,3316385480,161.126444908,20,631.869,161.151,2632088,output/glibc/default[s=plingeling]/sat2014_app_bench/q_query_3_l48_lambda.cnf.gz/0,OK
49,0.48303,0.776546,0.725265,0.051281,160.766,385320,false,false,20,242032,1902879563,1468650,0.469793189,20,0.776546,0.48303,385320,output/glibc/default[s=plingeling]/sat2014_app_bench/6s184.cnf.gz/0,OK
50,900.082,3551.17,3547.85,3.31868,394.538,2484596,true,false,1,8303516255238835,8788813691232,28686620246,900.000268600,9,3551.17,900.082,2484596,output/glibc/default[s=plingeling]/sat2014_app_bench/hitag2-7-60-0-0xe8fa35372ed37e2-80.cnf.gz/0,TLE
51,47.1267,183.244,182.511,0.732653,388.832,2073424,false,false,10,562949976651410,456248286435,756757583,47.113778692,10,183.244,47.1267,2073424,output/glibc/default[s=plingeling]/sat2014_app_bench/gss-18-s100.cnf.gz/0,OK
52,900.441,3543.53,3511.58,31.946,393.533,7112952,true,false,1,NaN,NaN,NaN,NaN,9,3543.53,900.441,7112952,output/glibc/default[s=plingeling]/sat2014_app_bench/post-cbmc-aes-d-r2.cnf.gz/0,TLE
53,513.265,2005.61,2003.27,2.34772,390.756,3640624,false,false,20,5066551095002447,4982477891524,23922219943,513.240985232,20,2005.61,513.265,3640624,output/glibc/default[s=plingeling]/sat2014_app_bench/UCG-20-10p0.cnf.gz/0,OK
54,900.391,3522.68,3510.06,12.6183,391.239,5577416,true,false,1,8162776704332678,8711948223006,31072674998,900.011159556,9,3522.68,900.391,5577416,output/glibc/default[s=plingeling]/sat2014_app_bench/transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.050-NOTKNOWN.cnf.gz/0,TLE
55,900.084,3555.16,3552.91,2.2437,394.981,2381420,true,false,1,8444252011652758,8789749942354,18948145555,900.020649065,9,3555.16,900.084,2381420,output/glibc/default[s=plingeling]/sat2014_app_bench/hitag2-10-60-0-0xfee9637399d85a2-78.cnf.gz/0,TLE
