,runsolver_WCTIME,runsolver_CPUTIME,runsolver_USERTIME,runsolver_SYSTEMTIME,runsolver_CPUUSAGE,runsolver_MAXVM,runsolver_TIMEOUT,runsolver_MEMOUT,runsolver_STATUS,perf_tlb_miss,perf_cycles,perf_cache_misses,perf_elapsed,return_code,cpu_time,wall_time,max_memory,run_id,verdict
0,4.34543,0.684637,0.612028,0.072609,15.7553,333492,false,false,20,1361155,1609435373,5546300,3.720709157,20,0.684637,4.34543,333492,output/glibc/default[s=minisat]/sat_gauss_bench/hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf.gz/0,OK
1,0.55827,0.046696,0.005956,0.04074,8.36441,0,false,false,10,41884,40746225,26530,0.346327892,10,0.046696,0.55827,0,output/glibc/default[s=minisat]/sat_gauss_bench/bart17.shuffled.cnf.gz/0,OK
2,902.656,40.4219,39.9548,0.46711,4.47811,693788,true,false,0,562949970617344,100666838836,518479379,902.269462727,0,40.4219,902.656,693788,output/glibc/default[s=minisat]/sat_gauss_bench/aaai10-planning-ipc5-pipesworld-12-step16.cnf.gz/0,TLE
3,23.059,2.65826,2.62332,0.034941,11.5281,320924,false,false,10,9215714,6590694915,15470151,22.834227535,10,2.65826,23.059,320924,output/glibc/default[s=minisat]/sat_gauss_bench/AProVE09-05.cnf.gz/0,OK
4,904.762,42.0298,41.7881,0.241761,4.6454,491864,true,false,0,281475243271210,104613931320,479237185,904.078665051,0,42.0298,904.762,491864,output/glibc/default[s=minisat]/sat_gauss_bench/ibm-2004-23-k100.cnf.gz/0,TLE
5,903.975,41.6652,41.5115,0.153693,4.60911,392300,true,false,143,NaN,NaN,NaN,NaN,143,41.6652,903.975,392300,output/glibc/default[s=minisat]/sat_gauss_bench/mizh-md5-47-3.cnf.gz/0,TLE
6,74.3626,6.94526,6.83204,0.113222,9.33972,364576,false,false,20,47792376,17274234150,68194586,74.136474529,20,6.94526,74.3626,364576,output/glibc/default[s=minisat]/sat_gauss_bench/hwmcc10-timeframe-expansion-k50-pdtvisns2p3-tseitin.cnf.gz/0,OK
7,902.609,37.7654,37.6629,0.102478,4.18403,355680,true,false,143,291615001,94079147600,386318268,902.310377973,143,37.7654,902.609,355680,output/glibc/default[s=minisat]/sat_gauss_bench/q_query_3_l47_lambda.cnf.gz/0,TLE
8,1.29338,0.043481,0.018593,0.024888,3.36181,0,false,false,20,48773,72661303,144124,1.005092806,20,0.043481,1.29338,0,output/glibc/default[s=minisat]/sat_gauss_bench/E15N15.cnf.gz/0,OK
9,661.931,26.6809,26.4605,0.220404,4.03077,429216,false,false,10,281475050868522,66376673755,328050339,661.701731516,10,26.6809,661.931,429216,output/glibc/default[s=minisat]/sat_gauss_bench/SAT_dat.k90.debugged.cnf.gz/0,OK
