,runsolver_WCTIME,runsolver_CPUTIME,runsolver_USERTIME,runsolver_SYSTEMTIME,runsolver_CPUUSAGE,runsolver_MAXVM,runsolver_TIMEOUT,runsolver_MEMOUT,runsolver_STATUS,perf_dTLB_load_misses,perf_dTLB_loads,perf_dTLB_store_misses,perf_dTLB_stores,perf_iTLB_load_misses,perf_iTLB_loads,perf_cycles,perf_cache_misses,perf_elapsed,return_code,cpu_time,wall_time,max_memory,platform,hostname,run_id,verdict,runsolver_error
0,461.893,461.887,461.358,0.529036,99.9987,734516,false,false,10,5814954482,1125908652294509,1591987649,50884241120,1402105,16302,1124673801663,5708534976,461.879790232,10,461.887,461.893,734516,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/cube-11-h14-sat.cnf.gz/0,OK,NaN
1,722.845,722.837,719.712,3.12506,99.9988,706200,false,false,20,7494987543,1688869104177411,1381335457,100050199425,3227348,13856,1782743288701,796952690,722.831993427,20,722.837,722.845,706200,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/maxxororand032.cnf.gz/0,OK,NaN
2,8.46767,8.463,8.16237,0.30063,99.9448,739972,false,false,10,17244452,9924307011,7871055,1315330730,318312,17908,21073611184,76361946,8.454820389,10,8.463,8.46767,739972,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/traffic_r_sat.cnf.gz/0,OK,NaN
3,44.9739,44.9593,44.4781,0.481128,99.9675,910572,false,false,10,211805645,140762463212774,45376737,5693790335,409750,279009,108610785374,159886866,44.960628351,10,44.9593,44.9739,910572,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/12pipe_bug4_q0.used-as.sat04-723.cnf.gz/0,OK,NaN
4,53.57,53.548,53.3459,0.202085,99.9589,533836,false,false,10,434109271,140740064152023,179531392,10281648271,235154,8554,132192394558,129478503,53.549609083,10,53.548,53.57,533836,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/mizh-md5-48-5.cnf.gz/0,OK,NaN
5,24.1891,24.0574,23.8683,0.189055,99.4555,612772,false,false,20,238563472,140745894572256,42397449,4098739552,191736,6853,58752018549,48833748,24.176627850,20,24.0574,24.1891,612772,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/UTI-10-10p0.cnf.gz/0,OK,NaN
6,786.758,786.735,786.623,0.111644,99.997,451980,false,false,20,3355765424,1829605833596763,1001742822,158429511079,1838400,22098,1921857940725,186385163,786.745122942,20,786.735,786.758,451980,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/AProVE07-02.cnf.gz/0,OK,NaN
7,591.207,591.195,590.132,1.06266,99.998,937052,false,false,20,8387012654,1407379721545343,1921968259,124991311739,1637603,16588,1443803136476,3556052676,591.190794693,20,591.195,591.207,937052,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/manol-pipe-f7idw.cnf.gz/0,OK,NaN
8,61.6291,61.6239,61.4804,0.143473,99.9915,529860,false,false,10,589000300,140764138876050,165188005,11341455096,211264,9797,150176262098,90910564,61.615991376,10,61.6239,61.6291,529860,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/post-c32s-gcdm16-22.cnf.gz/0,OK,NaN
9,686.66,686.647,685.34,1.3073,99.9981,714868,false,false,20,8540155218,1548133983857337,1734573872,113912439264,1898437,15076,1701172913456,3698628716,686.646826830,20,686.647,686.66,714868,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/SAT_dat.k55.debugged.cnf.gz/0,OK,NaN
10,900.055,900.055,896.061,3.9936,99.9999,1027736,true,false,0,11147948090,2111091637434295,3366086668,150444797958,5358808,1188330,2192961675322,3230802074,900.027444260,0,900.055,900.055,1027736,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/mizh-sha0-36-4.cnf.gz/0,TLE,NaN
11,900.073,900.06,897.367,2.69255,99.9986,1498532,true,false,0,8595126842,2111091660203424,1437037954,211331083421,3318523,20970,2226663692661,5508978046,900.026011058,0,900.06,900.073,1498532,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/velev-vliw-uns-2.0-iq2.cnf.gz/0,TLE,NaN
12,400.457,400.417,399.88,0.537141,99.9902,878772,false,false,20,4724399693,985180201976458,686941074,59560767336,874574,8661,981419989780,1888659124,400.441408232,20,400.417,400.457,878772,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/total-10-13-u.cnf.gz/0,OK,NaN
13,20.3085,20.2998,20.144,0.15575,99.9573,542356,false,false,10,188762335,11911706453,50872225,4138958501,181568,11489,50598586775,89783673,20.295638760,10,20.2998,20.3085,542356,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/SAT_dat.k90.debugged.cnf.gz/0,OK,NaN
14,0.823162,0.815587,0.690472,0.125115,99.0798,523164,false,false,10,963348,904275559,390457,387172133,115700,10452,2001208182,4536153,0.809673441,10,0.815587,0.823162,523164,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/smtlib-qfbv-aigs-rfunit_flat-64-tseitin.cnf.gz/0,OK,NaN
15,49.5907,49.5856,49.0336,0.552063,99.9897,988328,false,false,20,390722309,140742562970736,49644142,10798414840,568794,7849,120270157374,290796040,49.577305903,20,49.5856,49.5907,988328,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/aaai10-planning-ipc5-pipesworld-27-step13.cnf.gz/0,OK,NaN
16,204.386,204.21,204.081,0.129113,99.9141,497340,false,false,20,1971592462,562959217595255,427967183,37764935061,341215,7250,495454829889,348232558,204.373096183,20,204.21,204.386,497340,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/IBM_FV_2004_rule_batch_2_31_2_SAT_dat.k25.debugged.cnf.gz/0,OK,NaN
17,77.627,77.6117,77.1971,0.414617,99.9803,839712,false,false,10,804166935,140756132591790,151081345,10601122653,428477,7572,190069490890,550748503,77.611805569,10,77.6117,77.627,839712,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/UTI-15-5p1.cnf.gz/0,OK,NaN
18,13.2389,13.2328,13.0164,0.216321,99.9537,590268,false,false,20,85964360,9325775858,19570423,2281712738,212031,11810,32972104511,63283650,13.226047750,20,13.2328,13.2389,590268,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/smtlib-qfbv-aigs-lfsr_008_063_080-tseitin.cnf.gz/0,OK,NaN
19,131.398,131.388,130.772,0.615435,99.992,660064,false,false,10,1483946465,281494733144978,470294921,22632282632,594251,9593,325332246532,517637901,131.382167567,10,131.388,131.398,660064,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/sha0_36_5.cnf.gz/0,OK,NaN
20,900.045,900.036,899.984,0.052686,99.999,452600,true,false,143,866126913,2111110687673074,79532700,346189796317,2490518,25019,2198038654629,210706360,900.031827380,143,900.036,900.045,452600,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf.gz/0,TLE,NaN
21,14.8473,14.8407,14.7527,0.087969,99.9554,488172,false,false,20,148334044,8907852690,32839457,3116248182,99381,8064,36981695243,60401629,14.834138517,20,14.8407,14.8473,488172,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/AProVE11-11.cnf.gz/0,OK,NaN
22,77.9927,77.9691,77.9031,0.065978,99.9697,459336,false,false,20,161202644,140778341688225,36728819,22817259027,156694,10967,194374384294,31123602,77.979905846,20,77.9691,77.9927,459336,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/rbcl_xits_07_UNSAT.cnf.gz/0,OK,NaN
23,16.7969,16.761,16.6156,0.145413,99.7864,520624,false,false,20,328258375,140739642873710,105511012,2322791247,158659,6752,38400630593,55249495,16.776559735,20,16.761,16.7969,520624,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/simon-s03-fifo8-400.cnf.gz/0,OK,NaN
24,2.33071,2.31093,2.28077,0.03016,99.1511,434060,false,false,10,8430155,1495910185,1794163,512073892,28403,5837,5731144093,781567,2.310018995,10,2.31093,2.33071,434060,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/AProVE09-05.cnf.gz/0,OK,NaN
25,325.789,325.786,325.069,0.716564,99.9988,967668,false,false,20,5513997414,703700512077457,1636263656,44806491649,1009839,18461,795124500667,2749922861,325.776256293,20,325.786,325.789,967668,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/manol-pipe-c10nidw.cnf.gz/0,OK,NaN
26,118.915,118.905,117.987,0.918062,99.9921,1371760,false,false,20,1305120343,281498867499250,240602113,19218353501,782514,20486,289707265601,674312033,118.901687876,20,118.905,118.915,1371760,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf.gz/0,OK,NaN
27,366.689,366.686,366.619,0.066161,99.999,483076,false,false,20,2857213797,844440408215688,661858447,72675386577,531919,7231,893564594180,593910505,366.675926720,20,366.686,366.689,483076,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5303.taurus.hrsk.tu-dresden.de,output/glibc/default[s=minisat]/sat_gauss_bench/slp-synthesis-aes-bottom12.cnf.gz/0,OK,NaN
