,runsolver_WCTIME,runsolver_CPUTIME,runsolver_USERTIME,runsolver_SYSTEMTIME,runsolver_CPUUSAGE,runsolver_MAXVM,runsolver_TIMEOUT,runsolver_MEMOUT,runsolver_STATUS,perf_tlb_miss,perf_cycles,perf_cache_misses,perf_elapsed,return_code,cpu_time,wall_time,max_memory,platform,hostname,run_id,verdict,runsolver_error
0,900.723,115.692,115.11,0.582654,12.8444,625068,true,false,1,-1,-1,-1,-1,1,115.692,900.723,625068,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5483.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/cube-11-h14-sat.cnf.gz/0,TLE,NaN
1,905.029,109.974,109.841,0.132755,12.1514,396320,true,false,1,103803524,273981125098,459683555,903.759098908,1,109.974,905.029,396320,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/maxxororand032.cnf.gz/0,TLE,NaN
2,905.219,117.728,115.64,2.08824,13.0055,789340,true,false,1,562949985039424,293115778385,1141340680,904.594742073,1,117.728,905.219,789340,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/traffic_r_sat.cnf.gz/0,TLE,NaN
3,92.9363,11.8406,10.8798,0.960855,12.7406,703992,false,false,10,17865999,29423549029,79302902,92.560850905,10,11.8406,92.9363,703992,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/12pipe_bug4_q0.used-as.sat04-723.cnf.gz/0,OK,NaN
4,902.495,117.121,116.902,0.219197,12.9775,416040,true,false,1,155822950,291809659312,648802832,901.610172681,1,117.121,902.495,416040,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5432.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/mizh-md5-48-5.cnf.gz/0,TLE,NaN
5,300.32,39.1105,38.9583,0.152219,13.0229,416488,false,false,20,422212477199370,97404806846,235030267,299.168099790,20,39.1105,300.32,416488,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5483.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/UTI-10-10p0.cnf.gz/0,OK,NaN
6,904.773,115.869,115.793,0.075422,12.8064,379528,true,false,1,-1,-1,-1,-1,1,115.869,904.773,379528,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/AProVE07-02.cnf.gz/0,TLE,NaN
7,640.581,84.3462,84.0943,0.251852,13.1671,467748,false,false,20,281475038585536,210078185882,458942778,640.221482347,20,84.3462,640.581,467748,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/manol-pipe-f7idw.cnf.gz/0,OK,NaN
8,594.333,77.6491,77.4847,0.164372,13.0649,419856,false,false,10,21454901,193423164648,197604210,594.057233645,10,77.6491,594.333,419856,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/post-c32s-gcdm16-22.cnf.gz/0,OK,NaN
9,764.827,93.2577,93.0743,0.183349,12.1933,416720,false,false,20,422212509447347,232334865988,495738391,763.547213807,20,93.2577,764.827,416720,Linux-3.10.0-693.21.1.el7.x86_64-x86_64-with-redhat-7.4-Maipo,taurusi5416.taurus.hrsk.tu-dresden.de,output/glibc/default[s=plingeling]/sat_gauss_bench/SAT_dat.k55.debugged.cnf.gz/0,OK,NaN
