,runsolver_MAXVM,max_memory,width_frac_denominator,runsolver_STATUS,pre_wall,runsolver_WCTIME,enc_wall,runsolver_TIMEOUT,width_frac_numerator,perf_cycles,pre_clique_size,cpu_time,run_id,perf_dTLB_loads,runsolver_SYSTEMTIME,runsolver_USERTIME,#vertices,perf_dTLB_store_misses,size_largest_hyperedge,perf_iTLB_load_misses,width,platform,#hyperedges,err,perf_dTLB_load_misses,perf_elapsed,perf_iTLB_loads,runsolver_MEMOUT,perf_cache_misses,ret_fhtd,runsolver_CPUUSAGE,hostname,num_twins,runsolver_CPUTIME,return_code,verdict,wall_time,runsolver_error,hash,perf_dTLB_stores
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_other/grid2d_50.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
1,1627604,1627604,NaN,0,NaN,57.5181,NaN,false,NaN,136684383577,NaN,56.404,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_other/dubois28.hg/0,70458329837,4.74585,51.6582,NaN,20821061,NaN,28054096,NaN,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,NaN,237633269,57.125243320,46170214,false,269881493,NaN,98.0632,taurusi6521.taurus.hrsk.tu-dresden.de,NaN,56.404,0,RTE,57.5181,NaN,NaN,35792968841
2,2323392,2323392,NaN,1,NaN,4440.4,NaN,false,NaN,10943418679472,NaN,4440.41,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_other/flat30-99.hg/0,4816390405977,5.61261,4434.8,NaN,9267226447,NaN,394350991,NaN,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,NaN,50408718124,4440.269421910,592260443,false,34760526872,NaN,100,taurusi6508.taurus.hrsk.tu-dresden.de,NaN,4440.41,1,MODEL_REC,4440.4,NaN,NaN,2769988592331
3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/reg-s20-p03-c20-d10-n10-l5-85.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-10-60-20-30-51200-04.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
5,1294944,1294944,NaN,1,NaN,2860.56,NaN,false,NaN,7056768490321,NaN,2860.46,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-10-60-20-30-51200-08.xml.hg/0,4262328993511,1.73776,2858.72,NaN,111199507,NaN,92766525,NaN,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,NaN,1374127315,2860.432903415,23277329,false,598524671,NaN,99.9964,taurusi6336.taurus.hrsk.tu-dresden.de,NaN,2860.46,1,MODEL_REC,2860.56,NaN,NaN,2984259797591
6,757368,757368,1,0,[],1.3124,0,false,2.4000000000000004,2315208457,[],1.08801,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-5-2X-05c-12.xml.hg/0,799454070,0.268798,0.819216,12,296359,5,1059174,2.4000000000000004,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,90,NaN,2313751,1.183212421,1079477,false,1511436,1,82.9029,taurusi6484.taurus.hrsk.tu-dresden.de,[],1.08801,0,OK,1.3124,NaN,79590e3c0c6ad38a35762e14c5b6fafab1901c3cd4079cb99c52ec533f1e3569,440321884
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-3-20-20-60-632f-13.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-3-28-28-93-632f-03.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
9,813900,813900,1,0,[0.06515264511108398],5.4347,0.08415389060974121,false,5,12410461589,[1],5.18966,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-3-20-20-60-632f-37.xml.hg/0,7833532338,0.307684,4.88197,20,560442,3,2058894,5.0,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,58,NaN,5339531,5.306647058,2432694,false,1136543,1,95.4912,taurusi6586.taurus.hrsk.tu-dresden.de,[0],5.18966,0,OK,5.4347,NaN,aa0ad97773d3f3b7c605b84831ea88fef927c3c5477380069985e0e7d3557637,4755922653
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-5-4X-05c-49.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-3-20-20-60-632f-46.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/mdd-7-25-5-56-03.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
13,1949600,1949600,1,0,[0.3687918186187744],275.011,6.171110391616821,false,8,676393412403,[1],275.216,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/reg-s20-p03-c20-d10-n10-l5-42.xml.hg/0,267524989597,5.92057,269.295,130,370372022,3,73626012,8.0,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,100,NaN,2708576329,274.882424833,197745466,false,2031494455,1,100.074,taurusi6484.taurus.hrsk.tu-dresden.de,[0],275.216,0,OK,275.011,NaN,cdbc12daf7dfc5ca9df859fa03820cff94059c0dea16cfc436842d0725320569,148268668045
14,872580,872580,1,0,[0.26802802085876465],24.098,0.3763115406036377,false,5,58578966955,[1],23.9377,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-2-40-180-84-090-85.xml.hg/0,31794620364,0.545881,23.3918,40,29101757,2,10577281,5.0,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,84,NaN,160719905,23.967606870,9507408,false,10413824,1,99.3349,taurusi6520.taurus.hrsk.tu-dresden.de,[0],23.9377,0,OK,24.098,NaN,0e68be2d3e3a441a06dd6390216712f2fb92e469049c25c7209f75bb521448a9,18115697953
15,1208044,1208044,NaN,1,NaN,2722.29,NaN,false,NaN,6710956025038,NaN,2720.93,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-10-60-20-30-51200-41.xml.hg/0,4075389373089,2.3309,2718.6,NaN,113957777,NaN,60201842,NaN,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,NaN,1392960177,2721.544117255,44330867,false,653654952,NaN,99.9501,taurusi6521.taurus.hrsk.tu-dresden.de,NaN,2720.93,1,DECOMP,2722.29,NaN,NaN,2851629421725
16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-3-20-20-60-632-14.xml.hg/0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,unknown,NaN,NaN,9,RTE,NaN,NaN,NaN,NaN
17,815536,815536,3,0,[0.09000158309936523],4.72215,0.08539843559265137,false,14,10696792533,[1],4.49216,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-3-20-20-60-632-41.xml.hg/0,6541299934,0.318496,4.17366,20,500153,3,1905277,4.666666666666667,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,60,NaN,4531330,4.593771010,2450207,false,1261718,1,95.1294,taurusi6586.taurus.hrsk.tu-dresden.de,[0],4.49216,0,OK,4.72215,NaN,74a3ad2f6146ddf6d7c9ee2126a9204becc8370748139e2388f81a0d1bdb61eb,4013754410
18,945980,945980,NaN,1,NaN,2873.66,NaN,false,NaN,7089616871697,NaN,2872.85,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/rand-7-40-8-40-05000-5.xml.hg/0,4088875621753,0.865025,2871.98,NaN,28836895,NaN,74281559,NaN,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,NaN,744148076,2873.533084813,9663063,false,139636053,NaN,99.9717,taurusi6521.taurus.hrsk.tu-dresden.de,NaN,2872.85,1,MODEL_REC,2873.66,NaN,NaN,2881871721548
19,1922684,1922684,NaN,1,NaN,255.181,NaN,false,NaN,617358779706,NaN,251.376,output/fhtd/default[sp=lib+z3-4.8.7-x64-ubuntu-16.04+bin+z3]/hypergraphs/hyperbench/csp_random/reg-s20-p03-c20-d10-n10-l5-70.xml.hg/0,258576897471,5.9212,245.455,NaN,391508346,NaN,119347782,NaN,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,NaN,2743828112,254.922928307,198331080,false,1230289176,NaN,98.5092,taurusi6586.taurus.hrsk.tu-dresden.de,NaN,251.376,1,RTE,255.181,NaN,NaN,142759230572
