,perf_dTLB_stores,runsolver_CPUTIME,perf_dTLB_loads,perf_dTLB_store_misses,platform,runsolver_error,runsolver_WCTIME,verdict,runsolver_USERTIME,runsolver_CPUUSAGE,hostname,return_code,runsolver_TIMEOUT,run_id,runsolver_SYSTEMTIME,wall_time,perf_iTLB_load_misses,perf_elapsed,runsolver_STATUS,runsolver_MAXVM,runsolver_MEMOUT,perf_iTLB_loads,max_memory,perf_cycles,perf_dTLB_load_misses,perf_cache_misses,cpu_time
0,316296382983,3599.88,2063061839283,4679710025,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,3600.33,TLE,3594.49,99.9878,taurusi6035.taurus.hrsk.tu-dresden.de,1,true,"output/number_sat/default[s=d4,t=0]/track1_mc/Wang_2020_03_04/frb59-59-5.mcc2020_cnf/0",5.39941,3600.33,30967419,3599.908469862,1,5376340,false,96684,5376340,8895264677770,51618760341,34766688475,3599.88
1,636240533193,1934.78,2345306104577,1094732288,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,1936.01,MEM,1864.8,99.9364,taurusi5235.taurus.hrsk.tu-dresden.de,1,false,"output/number_sat/default[s=d4,t=0]/track1_mc/Wang_2020_03_04/frb59-26-1.mcc2020_cnf/0",69.9814,1936.01,539218577,1935.079031644,1,8241156,true,1054969,8241156,4773093960529,3631824056,600057111,1934.78
2,17006200694,139.732,90664595748,215491362,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,139.743,OK,139.467,99.9919,taurusi5255.taurus.hrsk.tu-dresden.de,0,false,"output/number_sat/default[s=d4,t=0]/track1_mc/Wang_2020_03_04/frb40-19-2.mcc2020_cnf/0",0.264999,139.743,852838,139.614857159,0,473360,false,8918,473360,344798931510,2484761900,91700543,139.732
3,135801385480,1428.87,751408136666,1606256314,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,1428.91,OK,1428.08,99.9974,taurusi5229.taurus.hrsk.tu-dresden.de,0,false,"output/number_sat/default[s=d4,t=0]/track1_mc/Wang_2020_03_04/frb30-21-3.mcc2020_cnf/0",0.790893,1428.91,12340639,1428.767631963,0,1069584,false,16465,1069584,3530303370949,25339224356,9841812504,1428.87
4,332952586068,3599.59,2099070762695,5444234553,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,3600.05,TLE,3596.38,99.9871,taurusi5126.taurus.hrsk.tu-dresden.de,1,true,"output/number_sat/default[s=d4,t=0]/track1_mc/Wang_2020_03_04/frb53-24-5.mcc2020_cnf/0",3.20459,3600.05,25225680,3599.908566520,1,614908,false,251175,614908,8894185847420,68435253336,5557025843,3599.59
5,776228855175,2277.55,2232830982565,242177075,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,2278.11,MEM,2070.54,99.9753,taurusi5255.taurus.hrsk.tu-dresden.de,1,false,"output/number_sat/default[s=d4,t=0]/track1_mc/Wang_2020_03_04/frb30-15-5.mcc2020_cnf/0",207.006,2278.11,1612384270,2277.277387800,1,8241292,true,12780729,8241292,5618891363622,2601975334,1372215473,2277.55
6,336772651952,3599.51,2078769929699,9290647893,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,3600.04,TLE,3595.89,99.9851,taurusi6035.taurus.hrsk.tu-dresden.de,1,true,"output/number_sat/default[s=d4,t=0]/track1_mc/Wang_2020_03_04/frb50-23-2.mcc2020_cnf/0",3.61577,3600.04,26288705,3599.907037391,1,594888,false,84507,594888,8892819834722,43584609197,8094176118,3599.51
7,282599459407,3599.7,1854154154032,3474050315,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,3600.13,TLE,3598.06,99.9879,taurusi6035.taurus.hrsk.tu-dresden.de,1,true,"output/number_sat/default[s=d4,t=0]/track1_mc/Wang_2020_03_04/frb30-30-1.mcc2020_cnf/0",1.63165,3600.13,22970160,3599.856548224,1,2105116,false,66879,2105116,8895549700825,58853201148,31202723344,3599.7
8,1366752084,9.65455,6561893097,15718615,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,9.66772,OK,9.52371,99.8637,taurusi4066.taurus.hrsk.tu-dresden.de,0,false,"output/number_sat/default[s=d4,t=0]/track1_mc/Wang_2020_03_04/frb35-17-4.mcc2020_cnf/0",0.130837,9.66772,93399,9.531631783,0,359800,false,6895,359800,23476067728,63100045,678010,9.65455
9,373242374368,1076.98,971801810587,107214092,Linux-3.10.0-1062.12.1.el7.x86_64-x86_64-with-redhat-7.7-Maipo,NaN,1078.08,MEM,980.81,99.8979,taurusi5235.taurus.hrsk.tu-dresden.de,1,false,"output/number_sat/default[s=d4,t=0]/track1_mc/Wang_2020_03_04/frb30-10-2.mcc2020_cnf/0",96.1681,1078.08,733322743,1076.161870031,1,8241668,true,7361585,8241668,2652953950142,2034420858,1233743263,1076.98
